Allowed,D.z
NA,1.4834456468393882
1,0.9757215174997641
NA,NA
1,0.5675846827778009
NA,NA
1,1.08101594249519
1,-1.6805321379833351
1,-0.5072442852535316
1,0.48679858049615987
NA,0.17359774164359715
1,0.7583600280571723
1,0.28758096743123823
0,1.4963490901224086
1,-0.568996960064592
NA,NA
1,-1.5184918905533358
0,0.1907599641988168
NA,0.013870803082355544
1,0.7782462358081992
NA,0.5072954607365048
1,0.7929898859947612
0,1.37284657702256
1,1.2236152059425414
1,-0.4147409796711034
NA,NA
1,NA
1,-1.012055484432154
1,0.3449406715449468
1,0.0936772306457682
0,0.9613338382704387
1,1.6364303784632341
1,-0.09941771316744985
1,-0.3061043205970932
NA,NA
1,NA
1,-0.09728940921896431
1,-2.103565673256089
NA,NA
NA,NA
NA,NA
NA,0.6756869039434515
1,0.8338700715815222
NA,0.8280265543855341
NA,NA
1,-2.338643609935124
1,-0.8099197588520153
NA,NA
NA,NA
1,NA
NA,-1.2390411201060767
0,NA
NA,0.7245501180074774
1,0.11448255141075228
1,NA
1,1.6589163182732867
NA,NA
1,-0.5055036935207436
1,-2.028955392421003
1,0.9426946549580159
1,NA
1,-0.3881194565789481
1,0.5104114985007355
0,1.411922517102834
1,-0.45010065330621407
1,0.12410499072820919
1,-1.0042992767875016
1,0.6886912305542535
NA,NA
1,2.1320725673675365
NA,NA
NA,NA
1,0.9993834872424819
NA,0.6231233542630338
1,-1.0240182091338939
NA,-0.5551825926334
NA,NA
1,1.0974497560608856
1,-0.7327673059563804
1,1.0935765871257446
1,-0.3677413405467626
1,-1.8284524720510391
1,-0.2834816697750332
1,-0.9467975015092372
NA,NA
1,0.8499400253186137
NA,NA
1,1.1395144340769248
1,1.5330354995725768
1,0.3510990658211678
NA,0.8514423027675081
0,-0.07423577904603805
0,1.4525542305422257
1,0.8782064356949297
1,0.04394601539323377
1,-1.1645733164436876
1,0.43248574038059906
NA,NA
1,-0.46556602081528453
0,1.791204545840577
1,-0.3464571702692876
1,-0.3685250236623253
1,-2.0163520661689245
1,0.531857269028654
NA,NA
NA,NA
1,-1.001959096809856
0,0.6157923812420372
1,0.12769838766568956
1,NA
1,-0.07105463466543256
NA,NA
NA,0.5392890639717574
1,-0.3503770268607475
1,-0.25106384946223526
1,0.040238525885126435
1,-0.40522944058017485
1,0.18306885376507975
NA,1.2174895798393341
1,NA
1,-1.7877215167156573
NA,0.29541363837349904
1,-0.7273945895329876
1,-0.36020483066305575
1,1.499225791557618
NA,NA
NA,NA
NA,NA
1,1.4839499228287385
NA,NA
1,-0.9299127229075617
0,1.3895430223050744
NA,NA
1,NA
NA,NA
NA,NA
NA,NA
1,NA
1,-0.8089449838952214
1,0.08602260740447329
NA,-2.1707925115496733
1,0.2363378417220772
NA,0.8562699828329994
1,-1.6359083706817055
1,-2.749666870031758
1,-0.6087765484670644
NA,NA
1,0.42753366711723817
1,-1.0455634703589718
1,-0.2410195006284499
NA,-0.8184944834719754
1,0.5621616069156837
1,0.16415234698812373
NA,NA
NA,NA
NA,NA
NA,-0.4080932289655923
NA,NA
1,0.790845518304619
NA,NA
1,-0.4478317385375729
1,-0.26416147258287476
0,2.25150026546907
1,1.423993601660035
NA,NA
NA,0.8601888948325964
NA,NA
1,NA
NA,NA
1,-1.0950242776715176
1,NA
1,-1.2996357109535015
NA,0.4997040778838139
1,-2.260996393524697
1,-0.18569714227726958
1,0.3873180705316463
1,-0.8346627897365319
1,1.3601558839298773
NA,NA
1,1.0997979716805932
1,-0.08922544689528991
1,0.6268823324085039
1,-1.2043003961004353
1,-1.2174315051191007
1,-0.7537214325188049
1,-1.4880531088202633
NA,NA
1,0.11869636798145525
NA,NA
1,-1.801305452715008
NA,1.156373175729092
NA,NA
1,-0.16278426201940424
1,-1.5509953084517993
1,-0.2357991052554997
NA,NA
NA,NA
1,0.6453695302222205
NA,0.16769302056877983
1,-1.764433114587264
1,0.3259352642689609
NA,NA
1,-0.6986126141171503
1,-1.0855237612376378
1,0.2419192409960377
1,-0.8418877683424866
1,-1.1743199246128966
1,NA
NA,NA
1,-0.05150000533816543
1,NA
1,-0.07686466021799439
NA,NA
1,NA
NA,0.9407019219363375
NA,NA
NA,NA
1,-1.3992688295405566
1,-0.8466042111016076
1,0.9985773946923852
NA,2.5874442276117353
1,0.10973169941416705
NA,NA
1,-0.42238744033991643
1,-0.48907124350100134
1,-0.712086705436648
1,0.9468011542879198
1,NA
NA,NA
NA,NA
NA,0.8089238250218617
0,1.6880602360988344
1,-0.9721317707092251
0,1.809709778773887
NA,NA
1,0.45694327204672314
1,1.2835194022200074
NA,NA
NA,NA
NA,NA
1,-0.8877784686473376
1,-1.7411124478938558
1,-2.0427708283382358
NA,0.1266570433998677
NA,NA
NA,NA
1,NA
NA,NA
1,2.591162278720377
NA,NA
1,NA
NA,NA
1,1.5329519189909262
NA,NA
1,-1.213722768132271
1,-0.409103735339192
1,-0.5071984997124624
1,NA
1,-1.1100180707442289
1,NA
NA,NA
1,-0.7653668351817247
NA,NA
1,-0.4630252658012344
NA,NA
1,0.8609513133404773
NA,NA
1,-0.24269351722461294
1,1.039139389358295
1,-0.44833436237687163
NA,1.4955067847734478
1,-0.10775667530159623
NA,-0.44288498816327776
1,-0.9058860436014278
1,0.6668216274637236
NA,NA
1,1.8774554711056675
1,-0.8764974094644561
NA,NA
1,0.6945453281382902
1,-0.28609842300430555
1,-0.8982913045701667
1,0.7550981912081103
NA,NA
1,NA
1,-0.22934505983567086
1,0.2599858754540911
1,0.8637233999265979
1,-0.8103557219582765
NA,NA
1,0.12002872666875714
1,0.692039501568707
NA,NA
NA,NA
1,0.528313326307598
NA,-0.6890872829088944
NA,NA
NA,NA
1,1.0733131509014289
NA,NA
1,0.014865579711839485
1,0.2947730782504209
1,1.15270268499463
1,0.335540397715967
1,-1.4639643571592091
1,-0.08429142247435295
NA,NA
NA,NA
NA,1.2026328543929432
1,0.6645208381133939
NA,NA
NA,NA
1,NA
1,1.1444994700437323
NA,NA
1,0.678091345799704
1,-1.2119476440319115
1,-1.2936752988855136
NA,NA
1,0.2825904364900207
0,0.4783110014739611
1,0.4633362904126492
NA,-0.7656774766685731
1,-0.9173189251810866
NA,1.1134419648784657
1,NA
NA,NA
1,-0.17932303596512805
1,-1.1195199492803125
NA,NA
1,0.5104477806256086
1,0.7283690905934974
1,0.23711396156221187
1,0.44111825675192323
1,0.5811576182506781
NA,NA
NA,NA
1,NA
1,-0.42105015290423425
NA,1.3379331840894382
NA,-1.8347670697892382
1,1.4721481338356903
1,0.04384990355548275
1,-0.5601195804949359
NA,-1.2306300617362038
1,-0.13055938937165015
1,0.7051418274102088
1,NA
0,1.3710841354751249
1,0.3816577592463052
1,0.9608303078409828
1,-0.8722220008345349
NA,NA
1,NA
NA,NA
1,0.8891740566441675
1,-0.3824223541052106
1,1.6264816670452729
NA,NA
1,-0.39842213223872913
NA,NA
1,-0.8146858332987016
NA,NA
0,NA
1,-0.8247840969223679
NA,NA
NA,NA
1,-0.21763896677908467
NA,NA
1,0.9148182683028486
1,-0.9733487299790388
1,-1.6345880853570485
NA,NA
NA,NA
1,-0.14299918194264677
1,-0.42615638961532987
1,-2.1098748848536126
NA,NA
NA,0.6594281067953968
NA,NA
NA,NA
0,0.7146611111112007
NA,NA
1,-0.257798820392541
NA,NA
NA,NA
1,-0.2835241347640489
NA,1.0355796875551146
1,0.5771537622784866
1,0.7337838603974818
NA,NA
1,1.8617797464670873
0,NA
1,0.47797457888787576
1,0.5904300885031935
1,-0.04138269705724222
NA,-0.05581634923982458
NA,NA
NA,NA
1,0.15271063425179632
NA,NA
NA,NA
NA,-0.7323484305303033
1,-0.7788819466622647
1,-1.3702208897184374
1,-0.7581303783723606
NA,2.419763827125209
1,-0.00610594856118462
1,-0.09357338450895923
1,0.06958891339006322
NA,1.3841174984911355
1,-0.07217621170606701
NA,NA
1,-0.8268798392655957
1,-1.3690189960618473
0,1.036183150841663
1,0.6486883854765471
1,-2.753161827259848
1,-0.6087186990524829
1,NA
1,-1.4074922502834761
NA,1.4129633782976372
1,-1.7883095984110378
1,-1.3997041311390537
1,-0.5155806868604319
1,-0.5232035137258855
NA,-1.2741885965513153
NA,NA
NA,-0.48060266841517435
NA,NA
NA,NA
NA,NA
1,-0.6392225861053983
1,0.9765928601045527
NA,-1.126432270378403
1,-1.2816074981105838
1,0.06622317980878001
NA,NA
1,0.540209015434688
1,NA
NA,NA
1,0.48993709944460967
1,1.7624469815443604
NA,NA
1,-0.3587237589145967
NA,NA
1,-2.0842998610510213
1,0.9776275349720894
1,0.6574493581350619
1,-0.20309896470757643
1,0.33868149450544643
1,-0.02151745556034514
1,0.8424796352678765
NA,NA
1,-0.1207650096208399
NA,NA
1,-0.33284514641893054
NA,NA
NA,NA
NA,NA
1,1.3198079159927278
NA,NA
1,-1.7820151732931844
1,NA
NA,NA
NA,NA
1,-0.5010854412446268
1,-1.921768182271769
0,0.8974815995205735
NA,-0.6174441340724024
1,1.4266597988405392
NA,-1.5396201124281268
1,1.516383313679227
1,-0.0861205348076203
1,1.320440037800764
NA,NA
NA,-0.8250264179362862
1,NA
1,1.9972691985314441
1,NA
1,0.4967876551893604
1,1.2953605774180472
NA,0.9962860121586945
1,0.5965587202949449
NA,-0.990229325930846
NA,NA
1,-1.1649020490357564
1,NA
1,-1.061907169562534
NA,NA
1,-0.5670157958602436
1,-0.538722753306174
1,0.696529296180856
NA,NA
1,1.1162132102369646
NA,0.21668082943928527
NA,0.25904190166956675
1,-0.5648064344645991
1,-1.735094214069953
1,0.34287174634667006
1,0.4226986754822053
NA,NA
1,0.2293131694436628
1,0.04641650294505086
1,-1.4950790190720784
1,0.8545449308415048
1,-1.227651200362148
1,0.7255137698879718
NA,NA
NA,NA
NA,-0.399517101582443
NA,NA
1,1.5180678626605553
1,2.8060787383122396
1,0.7354489360139719
NA,NA
0,0.8545010279851538
1,-0.9937611300759527
1,1.2464876628648773
1,-2.025565615900466
NA,-0.06661649980399677
1,-1.0657655927162852
NA,NA
1,-0.25089378007122604
1,NA
1,-1.042043103227193
NA,NA
NA,NA
1,0.3333010038474313
1,1.0699059704602096
NA,1.594869889130863
1,-0.4281581159304972
1,-1.0314483579455573
1,0.6940361657592862
NA,NA
1,0.6258854131328909
1,-0.14069998682249354
1,-1.4716252027575667
NA,NA
0,0.1885063110408189
1,-1.080403075240417
1,NA
1,-1.6181793370902622
NA,1.4307464319161414
1,-1.0852749403580924
1,-2.137254381480853
1,0.36300780066168237
0,0.20302356158561274
1,0.23836571437486187
1,-0.9823048249426809
1,-0.9205407605604099
NA,0.5660794999562212
1,-0.8799956616842114
1,-2.2657961851468436
0,1.5860656341930053
NA,NA
NA,0.949353058938294
NA,0.8250272414116229
1,0.8020784603995833
1,1.5618722774660618
NA,NA
1,-2.1280732362127526
NA,NA
1,-0.5809339881255918
1,0.7098723498129818
1,1.2293589578108322
1,-1.073510169520691
1,1.9528714318933882
1,0.06631202144789985
1,0.6430413997771228
NA,NA
1,-1.7139726798349366
1,0.32149518610707445
1,-1.5528188891726475
1,0.1747520102573629
1,-1.624134558747438
0,-0.6584878077560081
NA,NA
1,0.13767594427372715
1,NA
NA,NA
NA,0.9956441172273609
NA,-0.9451919131097934
NA,NA
1,0.9554312243281511
1,NA
1,-0.4080036003654093
1,-0.6929332570140277
NA,NA
NA,NA
1,0.0058149172118061206
1,-1.3602803373691186
